date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:10:48	38323/38323	---M--	200	added ('OK')	image/jpeg	etag:%227a406ba-95b3-5bc9ef6802080%22	https://www.cal-gh.com/images/body/service01.jpg	C:/My%20Web%20Sites/cal/www.cal-gh.com/images/body/service01.jpg	(from https://www.cal-gh.com/)
12:10:49	27396/27396	---M--	200	added ('OK')	image/jpeg	etag:%227a406c9-6b04-5bc9ef6802080%22	https://www.cal-gh.com/images/body/service02.jpeg	C:/My%20Web%20Sites/cal/www.cal-gh.com/images/body/service02.jpg	(from https://www.cal-gh.com/)
12:10:49	59727/59727	---M--	200	added ('OK')	image/jpeg	etag:%227a406be-e94f-5bc9ef6802080%22	https://www.cal-gh.com/images/body/service03.jpg	C:/My%20Web%20Sites/cal/www.cal-gh.com/images/body/service03.jpg	(from https://www.cal-gh.com/)
12:10:49	51311/51311	---M--	200	added ('OK')	image/jpeg	etag:%227a406ae-c86f-5bc9ef6802080%22	https://www.cal-gh.com/images/body/service04.jpg	C:/My%20Web%20Sites/cal/www.cal-gh.com/images/body/service04.jpg	(from https://www.cal-gh.com/)
12:10:49	154810/154810	---M--	200	added ('OK')	image/jpeg	etag:%227a406a0-25cba-5bc9ef6802080%22	https://www.cal-gh.com/images/body/service05.jpg	C:/My%20Web%20Sites/cal/www.cal-gh.com/images/body/service05.jpg	(from https://www.cal-gh.com/)
12:10:50	27956/27956	---M--	200	added ('OK')	image/jpeg	etag:%227a406e7-6d34-5bc9ef68f62c0%22	https://www.cal-gh.com/images/portfolio/thumbnails/95.jpg	C:/My%20Web%20Sites/cal/www.cal-gh.com/images/portfolio/thumbnails/95.jpg	(from https://www.cal-gh.com/)
12:10:50	46703/46703	---M--	200	added ('OK')	image/jpeg	etag:%227a40942-b66f-5bc9ef68f62c0%22	https://www.cal-gh.com/images/portfolio/thumbnails/2.jpg	C:/My%20Web%20Sites/cal/www.cal-gh.com/images/portfolio/thumbnails/2.jpg	(from https://www.cal-gh.com/)
12:10:50	37613/37613	---M--	200	added ('OK')	image/jpeg	etag:%227a41185-92ed-5bc9ef68f62c0%22	https://www.cal-gh.com/images/portfolio/thumbnails/w2.jpg	C:/My%20Web%20Sites/cal/www.cal-gh.com/images/portfolio/thumbnails/w2.jpg	(from https://www.cal-gh.com/)
12:10:50	13814/13814	---M--	200	added ('OK')	image/jpeg	etag:%227a40710-35f6-5bc9ef68f62c0%22	https://www.cal-gh.com/images/portfolio/thumbnails/ot120.jpg	C:/My%20Web%20Sites/cal/www.cal-gh.com/images/portfolio/thumbnails/ot120.jpg	(from https://www.cal-gh.com/)
12:10:50	24108/24108	---M--	200	added ('OK')	image/jpeg	etag:%227a40745-5e2c-5bc9ef68f62c0%22	https://www.cal-gh.com/images/portfolio/thumbnails/ot117.jpg	C:/My%20Web%20Sites/cal/www.cal-gh.com/images/portfolio/thumbnails/ot117.jpg	(from https://www.cal-gh.com/)
12:10:51	16832/16832	---M--	200	added ('OK')	image/jpeg	etag:%227a40707-41c0-5bc9ef68f62c0%22	https://www.cal-gh.com/images/portfolio/thumbnails/ot115.jpg	C:/My%20Web%20Sites/cal/www.cal-gh.com/images/portfolio/thumbnails/ot115.jpg	(from https://www.cal-gh.com/)
12:10:51	6977/6977	---M--	200	added ('OK')	image/jpeg	etag:%227ac1c79-1b41-5e87fc3adef40%22	https://www.cal-gh.com/images/logo/our_clients/1.jpg	C:/My%20Web%20Sites/cal/www.cal-gh.com/images/logo/our_clients/1.jpg	(from https://www.cal-gh.com/)
12:10:51	28938/28938	---M--	200	added ('OK')	image/jpeg	etag:%227ac1c75-710a-5e87fc3adef40%22	https://www.cal-gh.com/images/logo/our_clients/2.jpg	C:/My%20Web%20Sites/cal/www.cal-gh.com/images/logo/our_clients/2.jpg	(from https://www.cal-gh.com/)
12:10:51	12199/12199	---M--	200	added ('OK')	image/jpeg	etag:%227ac1c77-2fa7-5e87fc38f6ac0%22	https://www.cal-gh.com/images/logo/our_clients/3.jpg	C:/My%20Web%20Sites/cal/www.cal-gh.com/images/logo/our_clients/3.jpg	(from https://www.cal-gh.com/)
12:10:51	37000/37000	---M--	200	added ('OK')	image/jpeg	etag:%227ac1c6d-9088-5e87fc361a400%22	https://www.cal-gh.com/images/logo/our_clients/4.jpg	C:/My%20Web%20Sites/cal/www.cal-gh.com/images/logo/our_clients/4.jpg	(from https://www.cal-gh.com/)
12:10:52	10538/10538	---M--	200	added ('OK')	image/jpeg	etag:%227ac1c6f-292a-5e87fc361a400%22	https://www.cal-gh.com/images/logo/our_clients/5.jpg	C:/My%20Web%20Sites/cal/www.cal-gh.com/images/logo/our_clients/5.jpg	(from https://www.cal-gh.com/)
12:10:52	7349/7349	---M--	200	added ('OK')	image/jpeg	etag:%227ac1c73-1cb5-5e87fc361a400%22	https://www.cal-gh.com/images/logo/our_clients/6.jpg	C:/My%20Web%20Sites/cal/www.cal-gh.com/images/logo/our_clients/6.jpg	(from https://www.cal-gh.com/)
12:10:52	11019/11019	---M--	200	added ('OK')	image/jpeg	etag:%227ac1c71-2b0b-5e87fc3802880%22	https://www.cal-gh.com/images/logo/our_clients/7.jpg	C:/My%20Web%20Sites/cal/www.cal-gh.com/images/logo/our_clients/7.jpg	(from https://www.cal-gh.com/)
12:10:52	6176/6176	---M--	200	added ('OK')	image/jpeg	etag:%227ac1c53-1820-5e87fc361a400%22	https://www.cal-gh.com/images/logo/our_clients/8.jpg	C:/My%20Web%20Sites/cal/www.cal-gh.com/images/logo/our_clients/8.jpg	(from https://www.cal-gh.com/)
12:10:53	15046/15046	---M--	200	added ('OK')	image/jpeg	etag:%227ac1c58-3ac6-5e87fc3802880%22	https://www.cal-gh.com/images/logo/our_clients/9.jpg	C:/My%20Web%20Sites/cal/www.cal-gh.com/images/logo/our_clients/9.jpg	(from https://www.cal-gh.com/)
12:10:53	6432/6432	---M--	200	added ('OK')	image/jpeg	etag:%227ac1c6b-1920-5e87fc3802880%22	https://www.cal-gh.com/images/logo/our_clients/10.jpg	C:/My%20Web%20Sites/cal/www.cal-gh.com/images/logo/our_clients/10.jpg	(from https://www.cal-gh.com/)
12:10:53	27634/27634	---M--	200	added ('OK')	image/jpeg	etag:%227ac1c69-6bf2-5e87fc3802880%22	https://www.cal-gh.com/images/logo/our_clients/11.jpg	C:/My%20Web%20Sites/cal/www.cal-gh.com/images/logo/our_clients/11.jpg	(from https://www.cal-gh.com/)
12:10:53	4275/4275	---M--	200	added ('OK')	image/jpeg	etag:%227ac1c65-10b3-5e87fc3802880%22	https://www.cal-gh.com/images/logo/our_clients/12.jpg	C:/My%20Web%20Sites/cal/www.cal-gh.com/images/logo/our_clients/12.jpg	(from https://www.cal-gh.com/)
12:10:53	17451/17451	---M--	200	added ('OK')	image/jpeg	etag:%227ac1c67-442b-5e87fc3802880%22	https://www.cal-gh.com/images/logo/our_clients/13.jpg	C:/My%20Web%20Sites/cal/www.cal-gh.com/images/logo/our_clients/13.jpg	(from https://www.cal-gh.com/)
12:10:54	2824/2824	---M--	200	added ('OK')	image/jpeg	etag:%227ac1c5d-b08-5e87fc3802880%22	https://www.cal-gh.com/images/logo/our_clients/14.jpg	C:/My%20Web%20Sites/cal/www.cal-gh.com/images/logo/our_clients/14.jpg	(from https://www.cal-gh.com/)
12:10:54	22814/22814	---M--	200	added ('OK')	image/jpeg	etag:%227ac1c5f-591e-5e87fc3802880%22	https://www.cal-gh.com/images/logo/our_clients/15.jpg	C:/My%20Web%20Sites/cal/www.cal-gh.com/images/logo/our_clients/15.jpg	(from https://www.cal-gh.com/)
12:10:54	24709/24709	---M--	200	added ('OK')	image/jpeg	etag:%227ac1c63-6085-5e87fc3802880%22	https://www.cal-gh.com/images/logo/our_clients/16.jpg	C:/My%20Web%20Sites/cal/www.cal-gh.com/images/logo/our_clients/16.jpg	(from https://www.cal-gh.com/)
12:10:54	148589/148589	---M--	200	added ('OK')	image/png	etag:%227a4069a-2446d-5bc9ef6802080%22	https://www.cal-gh.com/images/shop/1.png	C:/My%20Web%20Sites/cal/www.cal-gh.com/images/shop/1.png	(from https://www.cal-gh.com/)
12:10:54	50583/50583	---M--	200	added ('OK')	image/jpeg	etag:%227a40698-c597-5bc9ef6802080%22	https://www.cal-gh.com/images/shop/2.jpg	C:/My%20Web%20Sites/cal/www.cal-gh.com/images/shop/2.jpg	(from https://www.cal-gh.com/)
12:10:55	54793/54793	---M--	200	added ('OK')	image/jpeg	etag:%227a4068b-d609-5bc9ef6802080%22	https://www.cal-gh.com/images/shop/3.jpg	C:/My%20Web%20Sites/cal/www.cal-gh.com/images/shop/3.jpg	(from https://www.cal-gh.com/)
12:10:55	0/0	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2007%20Jun%202023%2016:10:57%20GMT	https://www.cal-gh.com/shop-single.html	C:/My%20Web%20Sites/cal/www.cal-gh.com/shop-single.33.delayed	(from https://www.cal-gh.com/)
12:10:55	97163/97163	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	C:/My%20Web%20Sites/cal/ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	(from https://www.cal-gh.com/)
12:10:56	0/0	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2007%20Jun%202023%2016:10:58%20GMT	https://www.cal-gh.com/assets/plugin/jquery/jquery.min.js	C:/My%20Web%20Sites/cal/www.cal-gh.com/assets/plugin/jquery/jquery.min.js	(from https://www.cal-gh.com/)
12:10:56	40401/40401	---M-Z	200	added ('OK')	application/javascript	etag:%227ac53f2-9dd1-5bc9ef6619c00-gzip%22	https://www.cal-gh.com/assets/plugin/owl-carousel/owl.carousel.min.js	C:/My%20Web%20Sites/cal/www.cal-gh.com/assets/plugin/owl-carousel/owl.carousel.min.js	(from https://www.cal-gh.com/)
12:10:56	304949/304949	---MCZ	200	added ('OK')	application/javascript	etag:%227ac53e8-4a735-5bc9ef6619c00-gzip%22	https://www.cal-gh.com/assets/plugin/plugin.min.js	C:/My%20Web%20Sites/cal/www.cal-gh.com/assets/plugin/plugin.min.js	(from https://www.cal-gh.com/)
12:10:56	85219/85219	---M-Z	200	added ('OK')	application/javascript	etag:%227ac5426-14ce3-5bc9ef6619c00-gzip%22	https://www.cal-gh.com/assets/plugin/rs-plugin/js/jquery.themepunch.plugins.min.js	C:/My%20Web%20Sites/cal/www.cal-gh.com/assets/plugin/rs-plugin/js/jquery.themepunch.plugins.min.js	(from https://www.cal-gh.com/)
12:10:57	108772/108772	---M-Z	200	added ('OK')	application/javascript	etag:%227ac5424-1a8e4-5bc9ef6619c00-gzip%22	https://www.cal-gh.com/assets/plugin/rs-plugin/js/jquery.themepunch.revolution.min.js	C:/My%20Web%20Sites/cal/www.cal-gh.com/assets/plugin/rs-plugin/js/jquery.themepunch.revolution.min.js	(from https://www.cal-gh.com/)
12:10:57	1708/1708	---M-Z	200	added ('OK')	application/javascript	etag:%227ac5427-6ac-5bc9ef6619c00-gzip%22	https://www.cal-gh.com/assets/plugin/rs-plugin/js/jquery.revolution-int.js	C:/My%20Web%20Sites/cal/www.cal-gh.com/assets/plugin/rs-plugin/js/jquery.revolution-int.js	(from https://www.cal-gh.com/)
12:10:57	26694/26694	---M-Z	200	added ('OK')	application/javascript	etag:%227ac0caf-6846-5bc9ef6619c00-gzip%22	https://www.cal-gh.com/assets/js/plugins.js	C:/My%20Web%20Sites/cal/www.cal-gh.com/assets/js/plugins.js	(from https://www.cal-gh.com/)
12:10:58	33301/33301	---M-Z	200	added ('OK')	application/javascript	etag:W/%228215-h+zqxo3cOrx2dEj8ypjvc5xv+ic%22	https://cdn.jsdelivr.net/npm/botman-web-widget@0/build/js/widget.js	C:/My%20Web%20Sites/cal/cdn.jsdelivr.net/npm/botman-web-widget@0/build/js/widget.js	(from https://www.cal-gh.com/)
12:10:58	0/0	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2007%20Jun%202023%2016:11:00%20GMT	https://www.cal-gh.com/favicon.ico	C:/My%20Web%20Sites/cal/www.cal-gh.com/favicon.html	(from https://www.cal-gh.com/)
12:10:58	42935/42935	---M--	200	added ('OK')	image/png	etag:%227ac5418-a7b7-5bc9ef6619c00%22	https://www.cal-gh.com/assets/plugin/rs-plugin/images/gradient/g30.png	C:/My%20Web%20Sites/cal/www.cal-gh.com/assets/plugin/rs-plugin/images/gradient/g30.png	(from https://www.cal-gh.com/assets/plugin/rs-plugin/css/settings.css)
12:10:58	42464/42464	---M--	200	added ('OK')	image/png	etag:%227ac541c-a5e0-5bc9ef6619c00%22	https://www.cal-gh.com/assets/plugin/rs-plugin/images/gradient/g40.png	C:/My%20Web%20Sites/cal/www.cal-gh.com/assets/plugin/rs-plugin/images/gradient/g40.png	(from https://www.cal-gh.com/assets/plugin/rs-plugin/css/settings.css)
12:10:58	4289/4289	---M--	200	added ('OK')	image/png	etag:%227ac5433-10c1-5bc9ef6619c00%22	https://www.cal-gh.com/assets/plugin/rs-plugin/assets/shadow1.png	C:/My%20Web%20Sites/cal/www.cal-gh.com/assets/plugin/rs-plugin/assets/shadow1.png	(from https://www.cal-gh.com/assets/plugin/rs-plugin/css/settings.css)
12:10:59	5661/5661	---M--	200	added ('OK')	image/png	etag:%227ac5477-161d-5bc9ef6619c00%22	https://www.cal-gh.com/assets/plugin/rs-plugin/assets/shadow2.png	C:/My%20Web%20Sites/cal/www.cal-gh.com/assets/plugin/rs-plugin/assets/shadow2.png	(from https://www.cal-gh.com/assets/plugin/rs-plugin/css/settings.css)
12:10:59	6428/6428	---M--	200	added ('OK')	image/png	etag:%227ac5464-191c-5bc9ef6619c00%22	https://www.cal-gh.com/assets/plugin/rs-plugin/assets/shadow3.png	C:/My%20Web%20Sites/cal/www.cal-gh.com/assets/plugin/rs-plugin/assets/shadow3.png	(from https://www.cal-gh.com/assets/plugin/rs-plugin/css/settings.css)
12:10:59	933/933	---M--	200	added ('OK')	image/png	etag:%227ac5470-3a5-5bc9ef6619c00%22	https://www.cal-gh.com/assets/plugin/rs-plugin/assets/gridtile.png	C:/My%20Web%20Sites/cal/www.cal-gh.com/assets/plugin/rs-plugin/assets/gridtile.png	(from https://www.cal-gh.com/assets/plugin/rs-plugin/css/settings.css)
12:10:59	931/931	---M--	200	added ('OK')	image/png	etag:%227ac5486-3a3-5bc9ef6619c00%22	https://www.cal-gh.com/assets/plugin/rs-plugin/assets/gridtile_white.png	C:/My%20Web%20Sites/cal/www.cal-gh.com/assets/plugin/rs-plugin/assets/gridtile_white.png	(from https://www.cal-gh.com/assets/plugin/rs-plugin/css/settings.css)
12:11:00	938/938	---M--	200	added ('OK')	image/png	etag:%227ac5450-3aa-5bc9ef6619c00%22	https://www.cal-gh.com/assets/plugin/rs-plugin/assets/gridtile_3x3.png	C:/My%20Web%20Sites/cal/www.cal-gh.com/assets/plugin/rs-plugin/assets/gridtile_3x3.png	(from https://www.cal-gh.com/assets/plugin/rs-plugin/css/settings.css)
